Reaction,EC number,Gibbs-0,KEGG,Reaction-Direction
1.1.1.197-RXN,EC-1.1.1.197,-1.7165222,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R04552'>R04552</a>,
2.4.1.65-RXN,EC-2.4.1.65,-95.81354,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R04553'>R04553</a>,
RXN-8177,EC-2.4.1,8.351685,,LEFT-TO-RIGHT
GLUTARYL-COA-DEHYDROG-RXN,,21.239807,,REVERSIBLE
2.7.1.156-RXN,EC-2.7.1.156,-165.72673,,
RXN-8921,,-38.526855,,LEFT-TO-RIGHT
RXN-16687,,952.125,,PHYSIOL-LEFT-TO-RIGHT
RXN-9049,EC-2.1.1,-4.3599854,,PHYSIOL-LEFT-TO-RIGHT
RXN-11808,,-3.6100159,,LEFT-TO-RIGHT
D-RIBULOKIN-RXN,EC-2.7.1.47,-14.815857,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R01526'>R01526</a>,REVERSIBLE
RXN-17576,EC-1.14.13.M32,,,LEFT-TO-RIGHT
L-RHAMNONO-14-LACTONASE-RXN,EC-3.1.1.65,-6.347122,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R03772'>R03772</a>,PHYSIOL-LEFT-TO-RIGHT
SORBITOL-6-PHOSPHATASE-RXN,EC-3.1.3.50,7.3470154,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R02866'>R02866</a>,PHYSIOL-LEFT-TO-RIGHT
MALSYN-RXN,EC-2.3.3.9,-9.251221,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R00472'>R00472</a>,IRREVERSIBLE-LEFT-TO-RIGHT
UTPHEXPURIDYLYLTRANS-RXN,EC-2.7.7.64 // EC-2.7.7.10,-103.303406,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R00502'>R00502</a>,REVERSIBLE
RXN-8619,EC-1.14.13,-89.38747,,PHYSIOL-LEFT-TO-RIGHT
RXN-9561,,-16.917007,,LEFT-TO-RIGHT
RXN-9414,,-93.320496,,PHYSIOL-LEFT-TO-RIGHT
RXN-11491,EC-2.4.1,3.6799316,,LEFT-TO-RIGHT
RXN-12440,EC-1.11.1.11,-50.64987,,LEFT-TO-RIGHT
RXN-14661,EC-2.1.1,9.213089,,PHYSIOL-LEFT-TO-RIGHT
RXN-15194,,15.577011,,LEFT-TO-RIGHT
RXN-12301,EC-1.1.1,0.25650024,,
RXN-14374,,,,LEFT-TO-RIGHT
RXN-12942,EC-5.1.3,0,,LEFT-TO-RIGHT
RXN-15079,EC-1.14.13,-87.94879,,PHYSIOL-LEFT-TO-RIGHT
RXN-12010,EC-2.6.1,-3.0082397,,REVERSIBLE
3.3.2.9-RXN,EC-3.3.2.9,-3.6330004,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R07627'>R07627</a>,
3.2.1.133-RXN,EC-3.2.1.133,,,PHYSIOL-LEFT-TO-RIGHT
2.1.1.128-RXN,EC-2.1.1.128,-19.899002,"<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R05162'>R05162</a>"" // ""<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R05123'>R05123</a>",PHYSIOL-LEFT-TO-RIGHT
RXN-4161,EC-5.3.3.5,24.629,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R07484'>R07484</a>,LEFT-TO-RIGHT
RXN-2881,,-5.1670074,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R09093'>R09093</a>,LEFT-TO-RIGHT
RXN-17166,EC-2.1.1,26.77005,,LEFT-TO-RIGHT
RXN-15638,EC-3.1.1,-4.2871246,,LEFT-TO-RIGHT
PHENYLALANINE-N-ACETYLTRANSFERASE-RXN,EC-2.3.1.53,-7.4641113,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R00693'>R00693</a>,
RXN-14807,,1.5600052,,REVERSIBLE
PROTOPORGENOXI-RXN,EC-1.3.3.4,-137.31001,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R03222'>R03222</a>,PHYSIOL-LEFT-TO-RIGHT
GLYCINE-N-CHOLOYLTRANSFERASE-RXN,EC-2.3.1.65,-5.044174,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R03718'>R03718</a>,LEFT-TO-RIGHT
RXN-9947,,23.825867,,
2.7.7.39-RXN,EC-2.7.7.39,-103.30347,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R00856'>R00856</a>,LEFT-TO-RIGHT
RXN0-268,EC-2.8.3,-1.0024414,,REVERSIBLE
RXN-646,EC-3.5.1.107,-6.671257,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R03540'>R03540</a>,LEFT-TO-RIGHT
RXN-9085,,22.247726,,LEFT-TO-RIGHT
RXN-721,,-12.144108,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R03217'>R03217</a>,REVERSIBLE
RXN-12831,EC-4.2.3.96,-49.462982,,PHYSIOL-LEFT-TO-RIGHT
RXN-17611,,,,PHYSIOL-LEFT-TO-RIGHT
RXN-10420,,-7.2453537,,LEFT-TO-RIGHT
RXN-10036,EC-3.1.3.86,3.1868896,,PHYSIOL-LEFT-TO-RIGHT
METHANETHIOL-OXIDASE-RXN,EC-1.8.3.4,-12.702999,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R01851'>R01851</a>,PHYSIOL-LEFT-TO-RIGHT
RXN1F-150,EC-5.5.1.19,-43.53,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R05341'>R05341</a>,LEFT-TO-RIGHT
RXN0-6994,EC-3.2.1.86,0.117004395,,PHYSIOL-LEFT-TO-RIGHT
RXN-9609,,,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R06996'>R06996</a>,LEFT-TO-RIGHT
RXN-13425,,3.1399841,,
RXN-15528,EC-2.1.1,-4.3600388,,PHYSIOL-LEFT-TO-RIGHT
RXN-12518,EC-1.3.3.6,5.432312,,PHYSIOL-LEFT-TO-RIGHT
RXN-16128,EC-1.14.21,-88.41461,,PHYSIOL-LEFT-TO-RIGHT
RXN-13290,EC-6.2.1.3,-12.71167,,PHYSIOL-LEFT-TO-RIGHT
RXN-15236,EC-2.4.1.324,6.897644,,
RXN-13882,EC-1.3.1,-12.953552,,LEFT-TO-RIGHT
RXN-1602,EC-3.1.1.34 // EC-3.1.1.79,-13.038223,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R05209'>R05209</a>,PHYSIOL-LEFT-TO-RIGHT
RXN-12986,EC-3.1.7,-3.742981,,
ALCOHOL-DEHYDROG-GENERIC-RXN,EC-1.1.1.1,23.084045,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R07326'>R07326</a>,REVERSIBLE
ACETATEKIN-RXN,EC-2.7.2.1,-6.9717407,"<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R00315'>R00315</a>"" // ""<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R00315'>R00315</a>",REVERSIBLE
RXN-8079,EC-2.5.1.77,-46.105377,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R09396'>R09396</a>,LEFT-TO-RIGHT
RXN-7927,EC-4.1.1.24,0.5241165,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R00990'>R00990</a>,
RXN-4310,,-114.61542,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R08063'>R08063</a>,LEFT-TO-RIGHT
RXN-16600,EC-2.4.1,112.358215,,LEFT-TO-RIGHT
RXN-10877,,25.94001,,LEFT-TO-RIGHT
RXN-15691,,7.757141,,REVERSIBLE
RXN-10985,EC-2.3.1,-9.79718,,PHYSIOL-RIGHT-TO-LEFT
CERAMIDE-KINASE-RXN,EC-2.7.1.138,-4.5448,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R01495'>R01495</a>,
PYRNUTRANSHYDROGEN-RXN,EC-1.6.1.2 // EC-1.6.1.3 // EC-1.6.1.1,1.248291,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R00112'>R00112</a>,PHYSIOL-LEFT-TO-RIGHT
CYCPHOSDIESTER-RXN,EC-3.1.4.16,-121.06239,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R03423'>R03423</a>,PHYSIOL-LEFT-TO-RIGHT
RXN66-81,EC-1.14.13.8,-96.70053,,PHYSIOL-LEFT-TO-RIGHT
4-CARBOXYMUCONOLACTONE-DECARBOXYLASE-RXN,EC-4.1.1.44,-7.8117676,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R03470'>R03470</a>,LEFT-TO-RIGHT
RXNQT-4363,,35.71,,LEFT-TO-RIGHT
RXN-8453,EC-2.4.1.286,6.897583,,LEFT-TO-RIGHT
RXN0-3601,EC-2.8.3.21,0,,LEFT-TO-RIGHT
RXN-8561,EC-4.2.3.60,-16.609985,,PHYSIOL-LEFT-TO-RIGHT
RXN-13764,EC-4.2.3.138,-35.642975,,PHYSIOL-LEFT-TO-RIGHT
RXN-7441,,,,LEFT-TO-RIGHT
RXN-11429,,-0.4630127,,LEFT-TO-RIGHT
RXN-11323,EC-2.4.99.14,4.4013977,,LEFT-TO-RIGHT
RXN-10455,EC-6.3,-3.3417664,,PHYSIOL-LEFT-TO-RIGHT
RXN1G-1151,EC-2.3.1,-0.0002441406,,LEFT-TO-RIGHT
RXN-14306,EC-4.2.1.110,-16.176987,,
RXN-16489,EC-1.14.11,-109.61998,,LEFT-TO-RIGHT
RXN-13468,EC-1.1.1.332,23.196304,,LEFT-TO-RIGHT
2-CHLOROBENZOATE-12-DIOXYGENASE-RXN,EC-1.14.12.13,-81.7218,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R01033'>R01033</a>,PHYSIOL-LEFT-TO-RIGHT
RXN-14192,EC-2.7.1.40,-97.22412,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R01138'>R01138</a>,
RXN-11019,EC-2.5.1,-13,,
RXN-17101,EC-1.2.1.97,-24.00061,,LEFT-TO-RIGHT
1.3.1.20-RXN,EC-1.3.1.20,-18.086487,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R00814'>R00814</a>,
RXN-16162,EC-1.1.1,1.6264648,,LEFT-TO-RIGHT
RXN-14753,,2.3200073,,REVERSIBLE
RXN-16977,EC-1.14.11,-110.959984,,LEFT-TO-RIGHT
RXN-13916,EC-2.1.1,-4.3599854,,PHYSIOL-LEFT-TO-RIGHT
GLUTAMATE--METHYLAMINE-LIGASE-RXN,EC-6.3.4.12,-25.351746,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R01585'>R01585</a>,PHYSIOL-LEFT-TO-RIGHT
FRUCTOSE-6-PHOSPHATE-PHOSPHOKETOLASE-RXN,EC-4.1.2.22,-24.016968,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R00761'>R00761</a>,LEFT-TO-RIGHT
ALLIIN-LYASE-RXN,EC-4.4.1.4,129.01149,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R03901'>R03901</a>,
2.7.1.121-RXN,EC-2.7.1.121,-11.2717285,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R01012'>R01012</a>,LEFT-TO-RIGHT
2.4.1.38-RXN,EC-2.4.1.38,-95.8136,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R04495'>R04495</a>,LEFT-TO-RIGHT
1.1.1.147-RXN,EC-1.1.1.147,-10.649414,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R03227'>R03227</a>,
RXN-9023,EC-2.4.1.25,780.7633,,LEFT-TO-RIGHT
RXN-8893,,0.25646973,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R05471'>R05471</a>,REVERSIBLE
RXN-8151,EC-1.14.11.31,-102.73999,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R03698'>R03698</a>,PHYSIOL-LEFT-TO-RIGHT
RXN-17560,EC-1.13.11.M3,,,
RXN-11791,EC-2.7.8.31,0.0001831055,,PHYSIOL-LEFT-TO-RIGHT
RXN-16663,EC-2.3.1,-4.049988,,LEFT-TO-RIGHT
RXN-11934,EC-1.1.1,1.6265411,,LEFT-TO-RIGHT
L-FUCONATE-HYDRATASE-RXN,EC-4.2.1.68,-8.166977,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R03688'>R03688</a>,
D-ASPARTATE-OXIDASE-RXN,EC-1.4.3.15 // EC-1.4.3.1,-23.29126,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R00359'>R00359</a>,PHYSIOL-LEFT-TO-RIGHT
MACROCIN-O-METHYLTRANSFERASE-RXN,EC-2.1.1.101,-4.3599854,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R02858'>R02858</a>,PHYSIOL-LEFT-TO-RIGHT
UREASE-RXN,EC-3.5.1.5,-5.9629974,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R00131'>R00131</a>,REVERSIBLE
SERINE--PYRUVATE-AMINOTRANSFERASE-RXN,EC-2.6.1.51,-2.5899963,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R00585'>R00585</a>,REVERSIBLE
RXN-9497,EC-1.14.13.175,-240.42212,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R10319'>R10319</a>,PHYSIOL-LEFT-TO-RIGHT
RXN-9395,EC-1.14.13.105,-93.320496,,PHYSIOL-LEFT-TO-RIGHT
RXN-8598,EC-4.2.3,-63.849976,,PHYSIOL-LEFT-TO-RIGHT
RXN-12420,EC-3.2.1.176,,,PHYSIOL-LEFT-TO-RIGHT
RXN-14645,EC-1.14.17,-67.9229,,PHYSIOL-LEFT-TO-RIGHT
RXN-11463,,17.956993,,
RXN-12276,EC-3.1.3,,,PHYSIOL-LEFT-TO-RIGHT
3.2.1.95-RXN,EC-3.2.1.95,,,PHYSIOL-LEFT-TO-RIGHT
RXN-17451,|EC-2.5.1.bl|,,,PHYSIOL-LEFT-TO-RIGHT
RXN-14354,EC-2.4.1.25,,,RIGHT-TO-LEFT
RXN-3768,EC-1.1.1.348,12.362549,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R07752'>R07752</a>,RIGHT-TO-LEFT
RXN-15063,EC-2.4.1.316,5.649399,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R06450'>R06450</a>,LEFT-TO-RIGHT
RXN-11981,EC-4.2.1,-18.626999,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R09342'>R09342</a>,LEFT-TO-RIGHT
RXN-15620,|EC-2.8.1.g|,-37.46582,,PHYSIOL-LEFT-TO-RIGHT
2.1.1.105-RXN,EC-2.1.1.105,-4.3599854,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R04421'>R04421</a>,PHYSIOL-LEFT-TO-RIGHT
PROPIONATE--COA-LIGASE-RXN,EC-6.2.1.17,-11.541626,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R00925'>R00925</a>,PHYSIOL-LEFT-TO-RIGHT
RXN-2506,,-14.097107,,LEFT-TO-RIGHT
RXN-17143,EC-1.17.1,9.020569,,PHYSIOL-RIGHT-TO-LEFT
PGLYCEROLTRANSI-RXN,EC-2.7.8.20,17.792847,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R04511'>R04511</a>,REVERSIBLE
RXN-14791,EC-4.2.1.119,2.6569824,,RIGHT-TO-LEFT
GLYCEROL-1-PHOSPHATASE-RXN,EC-3.1.3.21,4.4969482,"<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R07298'>R07298</a>"" // ""<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R00841'>R00841</a>",PHYSIOL-LEFT-TO-RIGHT
RXN-7143,EC-2.5.1,-16.909973,,LEFT-TO-RIGHT
RXN-9915,EC-5.4.99.34,-135.09,,
2.7.4.19-RXN,EC-2.7.4.19,-0.78582764,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R04235'>R04235</a>,
RXN-12924,EC-2.1.1.254,-4.3599854,,PHYSIOL-LEFT-TO-RIGHT
RXN-12806,EC-2.3.1.197,-6.538208,,LEFT-TO-RIGHT
RXN-9067,,14.514252,,
RXN-10134,EC-1.14.14,-66.511444,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R05447'>R05447</a>,PHYSIOL-LEFT-TO-RIGHT
RXN-10010,,,,LEFT-TO-RIGHT
RXN-17594,,,,LEFT-TO-RIGHT
RXN1A0-6310,EC-1.1.1,0.47747803,,LEFT-TO-RIGHT
RXN0-6957,EC-3.6.1.56,-113.54877,,LEFT-TO-RIGHT
MANNONOXIDOREDUCT-RXN,EC-1.1.1.57,1.0817871,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R02454'>R02454</a>,REVERSIBLE
RXN-13403,EC-2.1.1.107,-12.957092,,PHYSIOL-LEFT-TO-RIGHT
RXN-15500,EC-1.14.13,-104.09758,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R10358'>R10358</a>,PHYSIOL-LEFT-TO-RIGHT
RXN-9585,,-7.4000244,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R06592'>R06592</a>,LEFT-TO-RIGHT
RXN-16110,EC-1.14.13,-89.65054,,PHYSIOL-LEFT-TO-RIGHT
RXN-13269,EC-2.7.8.36,0.0001525879,,LEFT-TO-RIGHT
RXN-12492,,-5.3371277,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R02540'>R02540</a>,
RXN-13866,EC-4.1.99.20,-37.69818,,LEFT-TO-RIGHT
RXN-6382,EC-1.2.1,-22.75238,,LEFT-TO-RIGHT
RXN-15220,,-0.5200043,,LEFT-TO-RIGHT
AGMATINE-KINASE-RXN,EC-2.7.3.10,1.7765198,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R01417'>R01417</a>,
RXN-16002,,-3.090004,,LEFT-TO-RIGHT
RXN-12965,,-26.128998,,LEFT-TO-RIGHT
RXN-8054,EC-4.4.1,-19.401226,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R08654'>R08654</a>,
RXN-16581,EC-2.1.1,-4.360031,,LEFT-TO-RIGHT
RXN-7886,EC-1.13.11,-153.91998,,PHYSIOL-LEFT-TO-RIGHT
RXN-4241,EC-1.14.13,-92.26051,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R07458'>R07458</a>,PHYSIOL-LEFT-TO-RIGHT
RXN-10969,,-5.5647583,,
RXN-10855,,-10.255371,,LEFT-TO-RIGHT
RXN-15660,EC-3.2.2,51.67035,,
CUCURBITACIN-DELTA-23-REDUCTASE-RXN,EC-1.3.1.5,3.600586,,
CDP-GLYCEROL-PYROPHOSPHATASE-RXN,EC-3.6.1.16,-10.245361,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R00855'>R00855</a>,
PUTTRANSAM-RXN,,1.5723495,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R01155'>R01155</a>,LEFT-TO-RIGHT
RXNQT-4347,EC-2.6.1,41.084484,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R08638'>R08638</a>,REVERSIBLE
RXN-8544,EC-4.2.3,-64.53,,PHYSIOL-LEFT-TO-RIGHT
RXN-8435,EC-2.4.1,6.897583,,LEFT-TO-RIGHT
RXN0-310,EC-4.1.1.M5,0.030639648,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R05373'>R05373</a>,LEFT-TO-RIGHT
RXN-11414,,29.313507,,LEFT-TO-RIGHT
RXN-13740,EC-1.1.3.5,-33.660004,,PHYSIOL-LEFT-TO-RIGHT
RXN-7262,EC-1.4.4,,,
RXN-10438,EC-6.3,-20.175842,,PHYSIOL-LEFT-TO-RIGHT
RXN-11297,EC-2.3.2.18,65.74649,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R08778'>R08778</a>,LEFT-TO-RIGHT
RXN-14286,EC-2.4.1.1,-10.330078,,PHYSIOL-LEFT-TO-RIGHT
RXN1F-20,EC-6.6.1.1,5.8052063,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R03877'>R03877</a>,PHYSIOL-LEFT-TO-RIGHT
12-OXOPHYTODIENOATE-REDUCTASE-RXN,EC-1.3.1.42,0.82351685,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R03401'>R03401</a>,RIGHT-TO-LEFT
RXN-16473,EC-2.3.1.249,-8.707764,,
RXN-13448,EC-2.1.1,-26.959015,,PHYSIOL-LEFT-TO-RIGHT
RXN-17085,EC-4.2.3,-97.06996,,LEFT-TO-RIGHT
RXN-14173,EC-3.5.1.100,-4.7129974,,
RXN-16146,EC-2.1.1,-4.360016,,PHYSIOL-LEFT-TO-RIGHT
RXN-14733,EC-2.7.1,-4.544739,,LEFT-TO-RIGHT
1.2.1.66-RXN,EC-1.1.1.306,-8.75824,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R09129'>R09129</a>,LEFT-TO-RIGHT
RXN-13900,EC-2.1.1,-4.360016,,PHYSIOL-LEFT-TO-RIGHT
GLUCOSE-1-PHOSPHAT-RXN,EC-3.1.3.10,7.21698,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R00304'>R00304</a>,LEFT-TO-RIGHT
RXN-16961,EC-6.3.2,-44.842377,,LEFT-TO-RIGHT
ALIZARIN-2-BETA-GLUCOSYLTRANSFERASE-RXN,EC-2.4.1.103,6.897644,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R03573'>R03573</a>,
2.6.1.46-RXN,EC-2.6.1.46,-0.9158859,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R02293'>R02293</a>,REVERSIBLE
--BORNEOL-DEHYDROGENASE-RXN,EC-1.1.1.227,-0.3781891,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R02945'>R02945</a>,LEFT-TO-RIGHT
RXN-9006,EC-2.4.1,7.1759644,,LEFT-TO-RIGHT
2.4.1.23-RXN,EC-2.4.1.23,6.897583,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R01928'>R01928</a>,
RXN-8119,EC-2.6.1.108,3.7141418,,LEFT-TO-RIGHT
RXN-17542,,,,LEFT-TO-RIGHT
RXN-8871,EC-3.7.1,0.33699036,,LEFT-TO-RIGHT
RXN-16645,EC-6.3.2,-257.41882,,LEFT-TO-RIGHT
RXN-11916,EC-3.2.1,0.007751465,,
RXN-11773,,,,LEFT-TO-RIGHT
RXN-11005,,-64.67673,,LEFT-TO-RIGHT
LXULRU5P-RXN,EC-5.1.3.22,0,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R03244'>R03244</a>,RIGHT-TO-LEFT
KETOLACTOSE-RXN,EC-3.2.1.23,-3.112976,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R04783'>R04783</a>,PHYSIOL-LEFT-TO-RIGHT
CYTIDINEKIN-RXN,|EC-2.7.1.aw|,-109.80597,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R00517'>R00517</a>,
RXN-9481,EC-1.14.13.174,-90.46051,,PHYSIOL-LEFT-TO-RIGHT
UDPMANACATRANS-RXN,EC-2.4.1.180,6.8975525,,LEFT-TO-RIGHT
SALICYLATE-1-MONOOXYGENASE-RXN,EC-1.14.13.1,-92.624664,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R00818'>R00818</a>,PHYSIOL-LEFT-TO-RIGHT
RXN-12404,,-20.659332,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R06428'>R06428</a>,LEFT-TO-RIGHT
RXN-9374,,-104.86377,,LEFT-TO-RIGHT
RXN-8582,EC-1.2.1.28,-13.105316,,LEFT-TO-RIGHT
RXN-14627,EC-3.2.1.194,-6.225952,,PHYSIOL-LEFT-TO-RIGHT
RXN-11445,,-3.6100464,,LEFT-TO-RIGHT
3.2.1.74-RXN,EC-3.2.1.74,-58.881775,,PHYSIOL-LEFT-TO-RIGHT
RXN-12256,,-41.16,,LEFT-TO-RIGHT
RXN-3601,EC-1.1.1.348,-18.715485,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R07737'>R07737</a>,RIGHT-TO-LEFT
RXN-17436,|EC-4.2.1.bi|,,,RIGHT-TO-LEFT
RXN-14333,EC-1.13.11.82,-84.68,,PHYSIOL-LEFT-TO-RIGHT
RXN-15601,EC-1.1.1,7.729431,,LEFT-TO-RIGHT
RXN-15044,EC-2.3.1.42,-6.6800537,,LEFT-TO-RIGHT
RXN-11958,EC-1.14.13,-116.5229,,PHYSIOL-LEFT-TO-RIGHT
PRIBFAICARPISOM-RXN,EC-5.3.1.16,0.62,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R04640'>R04640</a>,LEFT-TO-RIGHT
3.1.6.13-RXN,EC-3.1.6.13,-61.0141,,PHYSIOL-LEFT-TO-RIGHT
2-METHYLCITRATE-SYNTHASE-RXN,EC-2.3.3.5,-13.525391,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R00931'>R00931</a>,REVERSIBLE
RXN-2223,,-25.592209,,LEFT-TO-RIGHT
RXN-17120,EC-2.1.1.320,-44.744522,,
RXN0-1922,EC-3.2.2.28,,,PHYSIOL-LEFT-TO-RIGHT
PENTANAMIDASE-RXN,EC-3.5.1.50,-5.7471046,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R02938'>R02938</a>,
RXN-14775,EC-1.3.3.6,-19.929993,,PHYSIOL-LEFT-TO-RIGHT
RXN-7063,EC-2.4.1,6.8976135,,LEFT-TO-RIGHT
GLUTATHIONE-OXIDASE-RXN,EC-1.8.3.3,-29.37416,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R00120'>R00120</a>,PHYSIOL-LEFT-TO-RIGHT
RXN-12905,EC-6.3.1.6,-6.5117187,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R02929'>R02929</a>,PHYSIOL-LEFT-TO-RIGHT
RXN-9898,EC-5.5.1.7,10.50177,,
2.7.1.61-RXN,EC-2.7.1.61,,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R03841'>R03841</a>,
RXN-10116,EC-1.97.1,,,
RXN-12785,EC-6.2.1,-12.71167,,PHYSIOL-LEFT-TO-RIGHT
RXN-9050,,-18.92749,,PHYSIOL-LEFT-TO-RIGHT
RXN0-743,EC-5.4.99.18,6.31,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R07405'>R07405</a>,LEFT-TO-RIGHT
RIBULOSE-BISPHOSPHATE-CARBOXYLASE-RXN,EC-4.1.1.39,4.1412964,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R00024'>R00024</a>,PHYSIOL-RIGHT-TO-LEFT
RXN-17578,,,,PHYSIOL-LEFT-TO-RIGHT
RXN-13384,,24.8668,,LEFT-TO-RIGHT
RXN0-6720,,9.207001,,REVERSIBLE
MALTET-RXN,,-3.113037,,
RXN-16093,EC-1.14.11,-117.337006,,PHYSIOL-LEFT-TO-RIGHT
RXN-15478,EC-1.2.1,-14.353577,,LEFT-TO-RIGHT
RXN-9563,EC-1.3.1.105,0.17059326,,RIGHT-TO-LEFT
ADENPRIBOSYLTRAN-RXN,EC-2.4.2.7,-5.28479,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R00190'>R00190</a>,RIGHT-TO-LEFT
RXN-13243,,-50.43876,,PHYSIOL-LEFT-TO-RIGHT
RXN-8030,EC-1.14.99,,,PHYSIOL-LEFT-TO-RIGHT
RXN-623,EC-1.14.14.22,-176.52376,,PHYSIOL-LEFT-TO-RIGHT
RXN-15196,,-21.57,,LEFT-TO-RIGHT
RXN-16559,EC-1.1.1.211,1.0819092,,LEFT-TO-RIGHT
RXN-15973,,1.2934418,,
RXN-12944,EC-2.1.1,-20.639992,,PHYSIOL-LEFT-TO-RIGHT
RXN-10952,EC-3.1.3.25,7.2170105,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R01186'>R01186</a>,PHYSIOL-LEFT-TO-RIGHT
