ID,NAME,REACTION,EC,GPR,LOWER.BOUND,UPPER.BOUND,OBJECTIVE,COMPARTMENT,SUBSYSTEM
R07025,,"1-Nitronaphthalene-5,6-oxide[c] + Glutathione[c] <=> 1-Nitro-5-hydroxy-6-glutathionyl-5,6-dihydronaphthalene[c]",2.5.1.18,( 102588302 and 102604497 and 102586486 and 102604186 and 102579204 and 102580173 and 102589882 and 102592906 and 102599652 and 102585121 and 102587200 and 102602024 and 102602353 and 102603659 and 102589684 and 102599650 and 102604265 and 102589451 and 102583107 and 102583433 and 102605464 and 102597085 and 102598723 and 102601040 and 102584494 and 102602918 and 102591927 and 102592934 and 102595211 and 102578973 and 102599649 and 102597738 and 102602051 and 102602975 and 102593123 and 102598382 and 102600033 and 102590689 and 102599054 and 102600687 and 102600356 and 102601722 and 102599376 and 102597414 and 102598057 and 102603110 and 102606128 and 102606460 and 102579851 and 102599465 and 102603441 and 102601385 and 102589125 and 102601652 and 102604593 and 102604161 and 107058368 and 107059168 and 107059243 and 107057662 and 107058373 and 107059140 and 107059535 and 107059138 and 107057668 ),-1000,1000,NA,c,Gap fill KEGG sot
R07026,,"1-Nitronaphthalene-5,6-oxide[c] + Glutathione[c] <=> 1-Nitro-5-glutathionyl-6-hydroxy-5,6-dihydronaphthalene[c]",2.5.1.18,( 102588302 and 102604497 and 102586486 and 102604186 and 102579204 and 102580173 and 102589882 and 102592906 and 102599652 and 102585121 and 102587200 and 102602024 and 102602353 and 102603659 and 102589684 and 102599650 and 102604265 and 102589451 and 102583107 and 102583433 and 102605464 and 102597085 and 102598723 and 102601040 and 102584494 and 102602918 and 102591927 and 102592934 and 102595211 and 102578973 and 102599649 and 102597738 and 102602051 and 102602975 and 102593123 and 102598382 and 102600033 and 102590689 and 102599054 and 102600687 and 102600356 and 102601722 and 102599376 and 102597414 and 102598057 and 102603110 and 102606128 and 102606460 and 102579851 and 102599465 and 102603441 and 102601385 and 102589125 and 102601652 and 102604593 and 102604161 and 107058368 and 107059168 and 107059243 and 107057662 and 107058373 and 107059140 and 107059535 and 107059138 and 107057668 ),-1000,1000,NA,c,Gap fill KEGG sot
R07069,,"Bromobenzene-3,4-oxide[c] + Glutathione[c] <=> 3,4-Dihydro-3-hydroxy-4-S-glutathionyl bromobenzene[c]",2.5.1.18,( 102588302 and 102604497 and 102586486 and 102604186 and 102579204 and 102580173 and 102589882 and 102592906 and 102599652 and 102585121 and 102587200 and 102602024 and 102602353 and 102603659 and 102589684 and 102599650 and 102604265 and 102589451 and 102583107 and 102583433 and 102605464 and 102597085 and 102598723 and 102601040 and 102584494 and 102602918 and 102591927 and 102592934 and 102595211 and 102578973 and 102599649 and 102597738 and 102602051 and 102602975 and 102593123 and 102598382 and 102600033 and 102590689 and 102599054 and 102600687 and 102600356 and 102601722 and 102599376 and 102597414 and 102598057 and 102603110 and 102606128 and 102606460 and 102579851 and 102599465 and 102603441 and 102601385 and 102589125 and 102601652 and 102604593 and 102604161 and 107058368 and 107059168 and 107059243 and 107057662 and 107058373 and 107059140 and 107059535 and 107059138 and 107057668 ),-1000,1000,NA,c,Gap fill KEGG sot
R07070,,"Bromobenzene-2,3-oxide[c] + Glutathione[c] <=> 2,3-Dihydro-2-S-glutathionyl-3-hydroxy bromobenzene[c]",2.5.1.18,( 102588302 and 102604497 and 102586486 and 102604186 and 102579204 and 102580173 and 102589882 and 102592906 and 102599652 and 102585121 and 102587200 and 102602024 and 102602353 and 102603659 and 102589684 and 102599650 and 102604265 and 102589451 and 102583107 and 102583433 and 102605464 and 102597085 and 102598723 and 102601040 and 102584494 and 102602918 and 102591927 and 102592934 and 102595211 and 102578973 and 102599649 and 102597738 and 102602051 and 102602975 and 102593123 and 102598382 and 102600033 and 102590689 and 102599054 and 102600687 and 102600356 and 102601722 and 102599376 and 102597414 and 102598057 and 102603110 and 102606128 and 102606460 and 102579851 and 102599465 and 102603441 and 102601385 and 102589125 and 102601652 and 102604593 and 102604161 and 107058368 and 107059168 and 107059243 and 107057662 and 107058373 and 107059140 and 107059535 and 107059138 and 107057668 ),-1000,1000,NA,c,Gap fill KEGG sot
R07083,,"Benzo[a]pyrene-4,5-oxide[c] + Glutathione[c] <=> 4,5-Dihydro-4-hydroxy-5-S-glutathionyl-benzo[a]pyrene[c]",2.5.1.18,( 102588302 and 102604497 and 102586486 and 102604186 and 102579204 and 102580173 and 102589882 and 102592906 and 102599652 and 102585121 and 102587200 and 102602024 and 102602353 and 102603659 and 102589684 and 102599650 and 102604265 and 102589451 and 102583107 and 102583433 and 102605464 and 102597085 and 102598723 and 102601040 and 102584494 and 102602918 and 102591927 and 102592934 and 102595211 and 102578973 and 102599649 and 102597738 and 102602051 and 102602975 and 102593123 and 102598382 and 102600033 and 102590689 and 102599054 and 102600687 and 102600356 and 102601722 and 102599376 and 102597414 and 102598057 and 102603110 and 102606128 and 102606460 and 102579851 and 102599465 and 102603441 and 102601385 and 102589125 and 102601652 and 102604593 and 102604161 and 107058368 and 107059168 and 107059243 and 107057662 and 107058373 and 107059140 and 107059535 and 107059138 and 107057668 ),-1000,1000,NA,c,Gap fill KEGG sot
R07084,,"Benzo[a]pyrene-7,8-diol[c] + Glutathione[c] <=> 7,8-Dihydro-7-hydroxy-8-S-glutathionyl-benzo[a]pyrene[c] + H2O[c]",2.5.1.18,( 102588302 and 102604497 and 102586486 and 102604186 and 102579204 and 102580173 and 102589882 and 102592906 and 102599652 and 102585121 and 102587200 and 102602024 and 102602353 and 102603659 and 102589684 and 102599650 and 102604265 and 102589451 and 102583107 and 102583433 and 102605464 and 102597085 and 102598723 and 102601040 and 102584494 and 102602918 and 102591927 and 102592934 and 102595211 and 102578973 and 102599649 and 102597738 and 102602051 and 102602975 and 102593123 and 102598382 and 102600033 and 102590689 and 102599054 and 102600687 and 102600356 and 102601722 and 102599376 and 102597414 and 102598057 and 102603110 and 102606128 and 102606460 and 102579851 and 102599465 and 102603441 and 102601385 and 102589125 and 102601652 and 102604593 and 102604161 and 107058368 and 107059168 and 107059243 and 107057662 and 107058373 and 107059140 and 107059535 and 107059138 and 107057668 ),-1000,1000,NA,c,Gap fill KEGG sot
R07091,,"2,2-Dichloroacetaldehyde[c] + Glutathione[c] <=> S-(2,2-Dichloro-1-hydroxy)ethyl glutathione[c]",2.5.1.18,( 102588302 and 102604497 and 102586486 and 102604186 and 102579204 and 102580173 and 102589882 and 102592906 and 102599652 and 102585121 and 102587200 and 102602024 and 102602353 and 102603659 and 102589684 and 102599650 and 102604265 and 102589451 and 102583107 and 102583433 and 102605464 and 102597085 and 102598723 and 102601040 and 102584494 and 102602918 and 102591927 and 102592934 and 102595211 and 102578973 and 102599649 and 102597738 and 102602051 and 102602975 and 102593123 and 102598382 and 102600033 and 102590689 and 102599054 and 102600687 and 102600356 and 102601722 and 102599376 and 102597414 and 102598057 and 102603110 and 102606128 and 102606460 and 102579851 and 102599465 and 102603441 and 102601385 and 102589125 and 102601652 and 102604593 and 102604161 and 107058368 and 107059168 and 107059243 and 107057662 and 107058373 and 107059140 and 107059535 and 107059138 and 107057668 ),-1000,1000,NA,c,Gap fill KEGG sot
R07092,,"1,1-Dichloroethylene epoxide[c] + Glutathione[c] <=> 2-(S-Glutathionyl)acetyl chloride[c] + Hydrochloric acid[c]",2.5.1.18,( 102588302 and 102604497 and 102586486 and 102604186 and 102579204 and 102580173 and 102589882 and 102592906 and 102599652 and 102585121 and 102587200 and 102602024 and 102602353 and 102603659 and 102589684 and 102599650 and 102604265 and 102589451 and 102583107 and 102583433 and 102605464 and 102597085 and 102598723 and 102601040 and 102584494 and 102602918 and 102591927 and 102592934 and 102595211 and 102578973 and 102599649 and 102597738 and 102602051 and 102602975 and 102593123 and 102598382 and 102600033 and 102590689 and 102599054 and 102600687 and 102600356 and 102601722 and 102599376 and 102597414 and 102598057 and 102603110 and 102606128 and 102606460 and 102579851 and 102599465 and 102603441 and 102601385 and 102589125 and 102601652 and 102604593 and 102604161 and 107058368 and 107059168 and 107059243 and 107057662 and 107058373 and 107059140 and 107059535 and 107059138 and 107057668 ),-1000,1000,NA,c,Gap fill KEGG sot
R07093,,Chloroacetyl chloride[c] + Glutathione[c] <=> S-(2-Chloroacetyl)glutathione[c] + Hydrochloric acid[c],2.5.1.18,( 102588302 and 102604497 and 102586486 and 102604186 and 102579204 and 102580173 and 102589882 and 102592906 and 102599652 and 102585121 and 102587200 and 102602024 and 102602353 and 102603659 and 102589684 and 102599650 and 102604265 and 102589451 and 102583107 and 102583433 and 102605464 and 102597085 and 102598723 and 102601040 and 102584494 and 102602918 and 102591927 and 102592934 and 102595211 and 102578973 and 102599649 and 102597738 and 102602051 and 102602975 and 102593123 and 102598382 and 102600033 and 102590689 and 102599054 and 102600687 and 102600356 and 102601722 and 102599376 and 102597414 and 102598057 and 102603110 and 102606128 and 102606460 and 102579851 and 102599465 and 102603441 and 102601385 and 102589125 and 102601652 and 102604593 and 102604161 and 107058368 and 107059168 and 107059243 and 107057662 and 107058373 and 107059140 and 107059535 and 107059138 and 107057668 ),-1000,1000,NA,c,Gap fill KEGG sot
R07094,,2-(S-Glutathionyl)acetyl chloride[c] + Glutathione[c] <=> 2-(S-Glutathionyl)acetyl glutathione[c] + Hydrochloric acid[c],2.5.1.18,( 102588302 and 102604497 and 102586486 and 102604186 and 102579204 and 102580173 and 102589882 and 102592906 and 102599652 and 102585121 and 102587200 and 102602024 and 102602353 and 102603659 and 102589684 and 102599650 and 102604265 and 102589451 and 102583107 and 102583433 and 102605464 and 102597085 and 102598723 and 102601040 and 102584494 and 102602918 and 102591927 and 102592934 and 102595211 and 102578973 and 102599649 and 102597738 and 102602051 and 102602975 and 102593123 and 102598382 and 102600033 and 102590689 and 102599054 and 102600687 and 102600356 and 102601722 and 102599376 and 102597414 and 102598057 and 102603110 and 102606128 and 102606460 and 102579851 and 102599465 and 102603441 and 102601385 and 102589125 and 102601652 and 102604593 and 102604161 and 107058368 and 107059168 and 107059243 and 107057662 and 107058373 and 107059140 and 107059535 and 107059138 and 107057668 ),-1000,1000,NA,c,Gap fill KEGG sot
R07100,,"Trichloroethene[c] + Glutathione[c] <=> S-(1,2-Dichlorovinyl)glutathione[c] + Hydrochloric acid[c]",2.5.1.18,( 102588302 and 102604497 and 102586486 and 102604186 and 102579204 and 102580173 and 102589882 and 102592906 and 102599652 and 102585121 and 102587200 and 102602024 and 102602353 and 102603659 and 102589684 and 102599650 and 102604265 and 102589451 and 102583107 and 102583433 and 102605464 and 102597085 and 102598723 and 102601040 and 102584494 and 102602918 and 102591927 and 102592934 and 102595211 and 102578973 and 102599649 and 102597738 and 102602051 and 102602975 and 102593123 and 102598382 and 102600033 and 102590689 and 102599054 and 102600687 and 102600356 and 102601722 and 102599376 and 102597414 and 102598057 and 102603110 and 102606128 and 102606460 and 102579851 and 102599465 and 102603441 and 102601385 and 102589125 and 102601652 and 102604593 and 102604161 and 107058368 and 107059168 and 107059243 and 107057662 and 107058373 and 107059140 and 107059535 and 107059138 and 107057668 ),-1000,1000,NA,c,Gap fill KEGG sot
R07105,,Chloral hydrate[c] + NADH[c] + H+[c] <=> Trichloroethanol[c] + NAD+[c] + H2O[c],1.1.1.1,( 102599478 and 102585018 ) or ( 102583926 and 102584141 and 102589498 and 102581826 and 102583366 and 102577476 and 102583816 and 102591308 ),-1000,1000,NA,c,Gap fill KEGG sot
R07113,,"1,2-Dibromoethane[c] + Glutathione[c] + H+[c] <=> Glutathione episulfonium ion[c] + 2 Hydrobromic acid[c]",2.5.1.18,( 102588302 and 102604497 and 102586486 and 102604186 and 102579204 and 102580173 and 102589882 and 102592906 and 102599652 and 102585121 and 102587200 and 102602024 and 102602353 and 102603659 and 102589684 and 102599650 and 102604265 and 102589451 and 102583107 and 102583433 and 102605464 and 102597085 and 102598723 and 102601040 and 102584494 and 102602918 and 102591927 and 102592934 and 102595211 and 102578973 and 102599649 and 102597738 and 102602051 and 102602975 and 102593123 and 102598382 and 102600033 and 102590689 and 102599054 and 102600687 and 102600356 and 102601722 and 102599376 and 102597414 and 102598057 and 102603110 and 102606128 and 102606460 and 102579851 and 102599465 and 102603441 and 102601385 and 102589125 and 102601652 and 102604593 and 102604161 and 107058368 and 107059168 and 107059243 and 107057662 and 107058373 and 107059140 and 107059535 and 107059138 and 107057668 ),-1000,1000,NA,c,Gap fill KEGG sot
R07116,,2-Bromoacetaldehyde[c] + Glutathione[c] <=> S-(Formylmethyl)glutathione[c] + Hydrobromic acid[c],2.5.1.18,( 102588302 and 102604497 and 102586486 and 102604186 and 102579204 and 102580173 and 102589882 and 102592906 and 102599652 and 102585121 and 102587200 and 102602024 and 102602353 and 102603659 and 102589684 and 102599650 and 102604265 and 102589451 and 102583107 and 102583433 and 102605464 and 102597085 and 102598723 and 102601040 and 102584494 and 102602918 and 102591927 and 102592934 and 102595211 and 102578973 and 102599649 and 102597738 and 102602051 and 102602975 and 102593123 and 102598382 and 102600033 and 102590689 and 102599054 and 102600687 and 102600356 and 102601722 and 102599376 and 102597414 and 102598057 and 102603110 and 102606128 and 102606460 and 102579851 and 102599465 and 102603441 and 102601385 and 102589125 and 102601652 and 102604593 and 102604161 and 107058368 and 107059168 and 107059243 and 107057662 and 107058373 and 107059140 and 107059535 and 107059138 and 107057668 ),-1000,1000,NA,c,Gap fill KEGG sot
R07136,,(2R)-3-Sulfolactate[c] + NAD+[c] <=> 3-Sulfopyruvate[c] + NADH[c] + H+[c],1.1.1.37 1.1.1.337,( 102577663 and 102585937 ) or ( 102606140 and 102586760 and 102595203 and 102586271 and 102598930 and 102594993 and 102601823 ),-1000,1000,NA,c,Gap fill KEGG sot
R07162,,"Acyl-CoA[c] + NADP+[c] <=> trans-2,3-Dehydroacyl-CoA[c] + NADPH[c] + H+[c]",1.3.1.38,( 102601699 and 102605504 and 102596064 and 102599442 and 102599768 and 102597492 ),-1000,1000,NA,c,Gap fill KEGG sot
R07168,,"5-Methyltetrahydrofolate[c] + NAD+[c] <=> 5,10-Methylenetetrahydrofolate[c] + NADH[c] + H+[c]",1.5.1.20,( 102598073 and 102596086 ),-1000,1000,NA,c,Gap fill KEGG sot
R07199,,Zeaxanthin[c] + NADPH[c] + H+[c] + Oxygen[c] <=> Antheraxanthin[c] + NADP+[c] + H2O[c],1.14.13.90,( 102592281 ),-1000,1000,NA,c,Gap fill KEGG sot
R07200,,Antheraxanthin[c] + NADPH[c] + H+[c] + Oxygen[c] <=> Violaxanthin[c] + NADP+[c] + H2O[c],1.14.13.90,( 102592281 ),-1000,1000,NA,c,Gap fill KEGG sot
R07232,,S-Adenosyl-L-methionine[c] + Adenine in rRNA[c] <=> S-Adenosyl-L-homocysteine[c] + rRNA containing N6-methyladenine[c],2.1.1.181,( 102601562 ),-1000,1000,NA,c,Gap fill KEGG sot
R07235,,S-Adenosyl-L-methionine[c] + 3-Demethylubiquinone-9[c] <=> S-Adenosyl-L-homocysteine[c] + Ubiquinone-9[c],2.1.1.64,( 102594881 ),-1000,1000,NA,c,Gap fill KEGG sot
R07276,,L-Arogenate[c] + 2-Oxoglutarate[c] <=> Prephenate[c] + L-Glutamate[c],2.6.1.79,( 102601259 ),-1000,1000,NA,c,Gap fill KEGG sot
R07279,,ATP[c] + myo-Inositol[c] <=> ADP[c] + 1D-myo-Inositol 3-phosphate[c],2.7.1.64,( 102588803 ),-1000,1000,NA,c,Gap fill KEGG sot
R07364,,"1,2-Dihydroxy-5-(methylthio)pent-1-en-3-one[c] + Oxygen[c] <=> 4-Methylthio-2-oxobutanoic acid[c] + Formate[c]",1.13.11.54,( 102599891 and 102577691 and 102602799 and 107061612 ),-1000,1000,NA,c,Gap fill KEGG sot
R07409,,Choline[c] + Oxygen[c] + 2 Reduced ferredoxin[c] + 2 H+[c] => Betaine aldehyde[c] + 2 H2O[c] + 2 Oxidized ferredoxin[c],1.14.15.7,( 102597733 ),0,1000,NA,c,Gap fill KEGG sot
R07430,,6-Oxocampestanol[c] + Oxygen[c] + NADPH[c] <=> Cathasterone[c] + NADP+[c] + H2O[c],,( 102603786 ),-1000,1000,NA,c,Gap fill KEGG sot
R07440,,Ferulate[c] + NADPH[c] + H+[c] + Oxygen[c] => 5-Hydroxyferulic acid methyl ester[c] + NADP+[c] + H2O[c],,( 102604007 ),0,1000,NA,c,Gap fill KEGG sot
R07441,,Sinapoyl aldehyde[c] + NAD+[c] + H2O[c] <=> Sinapate[c] + NADH[c] + H+[c],1.2.1.68,( 102591575 ),-1000,1000,NA,c,Gap fill KEGG sot
R07442,,Sinapoyl aldehyde[c] + NADP+[c] + H2O[c] => Sinapate[c] + NADPH[c] + H+[c],1.2.1.68,( 102591575 ),0,1000,NA,c,Gap fill KEGG sot
R07452,,Campest-4-en-3-one[c] + Oxygen[c] + NADPH[c] => 22alpha-Hydroxy-campest-4-en-3-one[c] + NADP+[c] + H2O[c],,( 102603786 ),0,1000,NA,c,Brassinosteroid biosynthesis
R07453,,5alpha-Campestan-3-one[c] + Oxygen[c] + NADPH[c] => 22alpha-Hydroxy-5alpha-campestan-3-one[c] + NADP+[c] + H2O[c],,( 102603786 ),-1000,1000,NA,c,Brassinosteroid biosynthesis
R07454,,Campestanol[c] + Oxygen[c] + NADPH[c] <=> 6-Deoxocathasterone[c] + NADP+[c] + H2O[c],,( 102603786 ),-1000,1000,NA,c,Gap fill KEGG sot
R07505,,"Episterol[c] + 2 Ferrocytochrome b5[c] + Oxygen[c] + 2 H+[c] <=> 5,7,24(28)-Ergostatrienol[c] + 2 Ferricytochrome b5[c] + 2 H2O[c]",1.14.19.20,( 102602151 and 102587419 and 102594482 ),-1000,1000,NA,c,Gap fill KEGG sot
R07507,,7-Dehydrodesmosterol[c] + NADPH[c] + H+[c] <=> 7-Dehydrocholesterol[c] + NADP+[c],1.3.1.72,( 102584296 and 102604696 ),-1000,1000,NA,c,Gap fill KEGG sot
R07510,,"15-cis-Phytoene[c] <=> 9,9'-dicis-zeta-Carotene[c]",,( 102577582 ),-1000,1000,NA,c,Gap fill KEGG sot
R07511,,"9,9'-dicis-zeta-Carotene[c] + 2 Quinone[c] <=> 7,9,7',9'-tetracis-Lycopene[c] + 2 Hydroquinone[c]",1.3.5.6,( 102598493 ),-1000,1000,NA,c,Gap fill KEGG sot
R07647,,"trans,trans-Farnesyl diphosphate[c] + H2O[c] => (1E,4S,5E,7R)-Germacra-1(10),5-dien-11-ol[c] + Diphosphate[c]",4.2.3.22,( 102590669 and 102580832 and 102598796 and 102597519 ),0,1000,NA,c,Gap fill KEGG sot
R07648,,"trans,trans-Farnesyl diphosphate[c] => (-)-Germacrene D[c] + Diphosphate[c]",4.2.3.75,( 102590669 and 102580832 and 102598796 and 102597519 ),0,1000,NA,c,Gap fill KEGG sot
R07672,,GDP-mannose[c] <=> GDP-L-gulose[c],5.1.3.18,( 102582256 and 102577923 ),-1000,1000,NA,c,Gap fill KEGG sot
R07687,,"Anthracene[c] + Oxygen[c] + 2 H+[c] + 2 e-[c] <=> Anthracene-9,10-dihydrodiol[c]",,( 102605728 ),-1000,1000,NA,c,Gap fill KEGG sot
R07697,,Phenylboronic acid[c] + Oxygen[c] <=> Phenol[c] + Boric acid[c],,( 102605728 ),-1000,1000,NA,c,Gap fill KEGG sot
R07700,,Aniline[c] + Oxygen[c] <=> Catechol[c] + NH3[c],,( 102605728 ),-1000,1000,NA,c,Gap fill KEGG sot
R07856,,"beta-Zeacarotene[c] <=> 7,8-Dihydro-beta-carotene[c]",5.5.1.19,( 102595971 and 102597428 ),-1000,1000,NA,c,Gap fill KEGG sot
R07865,,"9(S)-HPOT[c] <=> 9,10-EOT[c] + H2O[c]",4.2.1.92,( 102588560 and 102589003 and 102584249 and 102577479 ),-1000,1000,NA,c,Gap fill KEGG sot
R07890,,3-Hydroxy-OPC8-CoA[c] + NAD+[c] <=> 3-Oxo-OPC8-CoA[c] + NADH[c] + H+[c],1.1.1.211 1.1.1.35,( 102579434 and 102605537 and 102596014 and 102587367 and 102586729 and 102586890 and 102587081 ),-1000,1000,NA,c,Gap fill KEGG sot
R07894,,3-Hydroxy-OPC6-CoA[c] + NAD+[c] <=> 3-Oxo-OPC6-CoA[c] + NADH[c] + H+[c],1.1.1.211 1.1.1.35,( 102579434 and 102605537 and 102596014 and 102587367 and 102586729 and 102586890 and 102587081 ),-1000,1000,NA,c,Gap fill KEGG sot
R07932,,Cyanidin 3-O-(6-O-malonyl-beta-D-glucoside)[c] + UDP-glucuronate[c] <=> Cyanidin-3-O-(6''-O-malonyl-2''-O-glucuronyl)glucoside[c] + UDP[c],2.4.1.254,( 102594832 ),-1000,1000,NA,c,Gap fill KEGG sot
R07934,,"(6Z,9Z,12Z,15Z,18Z,21Z)-Tetracosahexaenoyl-CoA[c] + FAD[c] <=> (2E,6Z,9Z,12Z,15Z,18Z,21Z)-Tetracosahepta-2,6,9,12,15,18,21-enoyl-CoA[c] + FADH2[c]",1.3.3.6,( 102581426 and 102579351 and 102592258 and 102587406 and 102588328 and 102586848 ),-1000,1000,NA,c,Gap fill KEGG sot
R07937,,"(4Z,7Z,10Z,13Z,16Z,19Z)-Docosahexaenoyl-CoA[c] + Acetyl-CoA[c] <=> CoA[c] + (6Z,9Z,12Z,15Z,18Z,21Z)-3-Oxotetracosahexa-6,9,12,15,18,21-enoyl-CoA[c]",2.3.1.16,( 102578706 and 102589894 ),-1000,1000,NA,c,Gap fill KEGG sot
R07950,,"(6Z,9Z,12Z,15Z,18Z)-Tetracosapentaenoyl-CoA[c] + FAD[c] <=> (2E,6Z,9Z,12Z,15Z,18Z)-Tetracosahexa-2,6,9,12,15,18-enoyl-CoA[c] + FADH2[c]",1.3.3.6,( 102581426 and 102579351 and 102592258 and 102587406 and 102588328 and 102586848 ),-1000,1000,NA,c,Gap fill KEGG sot
R07953,,"(4Z,7Z,10Z,13Z,16Z)-Docosapentaenoyl-CoA[c] + Acetyl-CoA[c] <=> CoA[c] + (6Z,9Z,12Z,15Z,18Z)-3-Oxotetracosapenta-6,9,12,15,18-enoyl-CoA[c]",2.3.1.16,( 102578706 and 102589894 ),-1000,1000,NA,c,Gap fill KEGG sot
R08090,,3-Hydroxy-3-(4-methylpent-3-en-1-yl)glutaryl-CoA[c] <=> 7-Methyl-3-oxo-6-octenoyl-CoA[c] + Acetate[c],4.1.3.26 4.1.3.4,( 102604357 and 102600078 and 102578164 ),-1000,1000,NA,c,Gap fill KEGG sot
R08120,,5-Fluoromuconolactone[c] + H2O[c] <=> 2-Maleylacetate[c] + Hydrofluoric acid[c],3.1.1.45,( 102585553 and 102579356 and 102601759 ),-1000,1000,NA,c,Gap fill KEGG sot
R08121,,4-Fluoromuconolactone[c] + H2O[c] <=> 2-Maleylacetate[c] + Hydrofluoric acid[c],3.1.1.45,( 102585553 and 102579356 and 102601759 ),-1000,1000,NA,c,Gap fill KEGG sot
R08174,,Stearoyl-CoA[c] + H2O[c] <=> CoA[c] + Octadecanoic acid[c],3.1.2.2,( 102591392 and 102592055 and 107062250 ),-1000,1000,NA,c,Biosynthesis of unsaturated fatty acids
R08175,,Eicosanoyl-CoA[c] + H2O[c] => CoA[c] + Icosanoic acid[c],3.1.2.2,( 102591392 and 102592055 and 107062250 ),0,1000,NA,c,Gap fill KEGG sot
R08176,,Oleoyl-CoA[c] + H2O[c] => CoA[c] + (9Z)-Octadecenoic acid[c],3.1.2.2,( 102591392 and 102592055 and 107062250 ),0,1000,NA,c,Gap fill KEGG sot
R08177,,Linoleoyl-CoA[c] + H2O[c] <=> CoA[c] + Linoleate[c],3.1.2.2,( 102591392 and 102592055 and 107062250 ),-1000,1000,NA,c,Gap fill KEGG sot
R08178,,"(9Z,12Z,15Z)-Octadecatrienoyl-CoA[c] + H2O[c] <=> CoA[c] + (9Z,12Z,15Z)-Octadecatrienoic acid[c]",3.1.2.2,( 102591392 and 102592055 and 107062250 ),-1000,1000,NA,c,Gap fill KEGG sot
R08179,,"(5Z,8Z,11Z,14Z,17Z)-Icosapentaenoyl-CoA[c] + H2O[c] <=> CoA[c] + (5Z,8Z,11Z,14Z,17Z)-Icosapentaenoic acid[c]",3.1.2.2,( 102591392 and 102592055 and 107062250 ),-1000,1000,NA,c,Gap fill KEGG sot
R08180,,"(4Z,7Z,10Z,13Z,16Z,19Z)-Docosahexaenoyl-CoA[c] + H2O[c] <=> CoA[c] + (4Z,7Z,10Z,13Z,16Z,19Z)-Docosahexaenoic acid[c]",3.1.2.2,( 102591392 and 102592055 and 107062250 ),-1000,1000,NA,c,Gap fill KEGG sot
R08181,,"gamma-Linolenoyl-CoA[c] + H2O[c] <=> CoA[c] + (6Z,9Z,12Z)-Octadecatrienoic acid[c]",3.1.2.2,( 102591392 and 102592055 and 107062250 ),-1000,1000,NA,c,Gap fill KEGG sot
R08182,,"8,11,14-Eicosatrienoyl-CoA[c] + H2O[c] <=> CoA[c] + (8Z,11Z,14Z)-Icosatrienoic acid[c]",3.1.2.2,( 102591392 and 102592055 and 107062250 ),-1000,1000,NA,c,Gap fill KEGG sot
R08183,,"Arachidonyl-CoA[c] + H2O[c] <=> CoA[c] + (5Z,8Z,11Z,14Z)-Icosatetraenoic acid[c]",3.1.2.2,( 102591392 and 102592055 and 107062250 ),-1000,1000,NA,c,Gap fill KEGG sot
R08221,,5'-Deoxy-5-fluorocytidine[c] + H2O[c] <=> 5'-Deoxy-5-fluorouridine[c] + NH3[c],3.5.4.5,( 102592443 ),-1000,1000,NA,c,Gap fill KEGG sot
R08226,,"5-FU[c] + NADPH[c] + H+[c] <=> 5,6-Dihydro-5-fluorouracil[c] + NADP+[c]",1.3.1.2,( 102599024 ),-1000,1000,NA,c,Gap fill KEGG sot
R08227,,"5,6-Dihydro-5-fluorouracil[c] + H2O[c] <=> alpha-Fluoro-beta-ureidopropionic acid[c]",3.5.2.2,( 102588501 ),-1000,1000,NA,c,Gap fill KEGG sot
R08228,,alpha-Fluoro-beta-ureidopropionic acid[c] + H2O[c] <=> alpha-Fluoro-beta-alanine[c] + CO2[c] + NH3[c],3.5.1.6,( 102603227 ),-1000,1000,NA,c,Gap fill KEGG sot
R08231,,5-FU[c] + 5-Phospho-alpha-D-ribose 1-diphosphate[c] <=> 5-Fluorouridine monophosphate[c] + Diphosphate[c],2.4.2.10,( 102592981 ),-1000,1000,NA,c,Gap fill KEGG sot
R08232,,5-Fluorouridine[c] + ATP[c] <=> 5-Fluorouridine monophosphate[c] + ADP[c],2.7.1.48,( 102604082 and 102579344 and 102601516 and 102601704 ),-1000,1000,NA,c,Gap fill KEGG sot
R08233,,5-Fluorodeoxyuridine[c] + ATP[c] <=> 5-Fluorodeoxyuridine monophosphate[c] + ADP[c],2.7.1.21,( 102605312 and 102591809 and 102599438 ),-1000,1000,NA,c,Gap fill KEGG sot
R08235,,6-Mercaptopurine[c] + 2 H2O[c] + 2 Oxygen[c] <=> 6-Thiourate[c] + 2 Hydrogen peroxide[c],1.17.3.2,( 102596284 ),-1000,1000,NA,c,Gap fill KEGG sot
R08237,,6-Mercaptopurine[c] + 5-Phospho-alpha-D-ribose 1-diphosphate[c] <=> 6-Thioinosine-5'-monophosphate[c] + Diphosphate[c],2.4.2.8,( 102579358 ),-1000,1000,NA,c,Gap fill KEGG sot
R08238,,6-Methylmercaptopurine[c] + 5-Phospho-alpha-D-ribose 1-diphosphate[c] <=> 6-Methylthiopurine 5'-monophosphate ribonucleotide[c] + Diphosphate[c],2.4.2.8,( 102579358 ),-1000,1000,NA,c,Gap fill KEGG sot
R08240,,6-Thioinosine-5'-monophosphate[c] + NAD+[c] + H2O[c] <=> 6-Thioxanthine 5'-monophosphate[c] + NADH[c] + H+[c],1.1.1.205,( 102598516 ),-1000,1000,NA,c,Gap fill KEGG sot
